Player_Name,Date,Team,Home/Away,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,PLUS_MINUS,Player_Code
Giannis Antetokounmpo,2026-01-07,MIL,@,GSW,"L, 113-120",*,31,15,22,0.682,2,4,0.5,2,7,0.286,2,8,10,5,0,0,2,4,34,26.3,3,antetgi01
Giannis Antetokounmpo,2026-01-04,MIL,@,SAC,"W, 115-98",*,32,13,17,0.765,0,0,0.0,11,13,0.846,3,8,11,1,0,0,3,2,37,30.9,17,antetgi01
Giannis Antetokounmpo,2026-01-02,MIL,,CHO,"W, 122-121",*,30,11,18,0.611,0,0,0.0,8,8,1.0,2,8,10,5,1,0,3,1,30,26.7,21,antetgi01
Giannis Antetokounmpo,2025-12-31,MIL,,WAS,"L, 113-114",*,28,12,21,0.571,0,1,0.0,9,14,0.643,5,10,15,3,0,0,6,3,33,22.5,-4,antetgi01
Giannis Antetokounmpo,2025-12-29,MIL,@,CHO,"W, 123-113",*,25,11,16,0.688,0,1,0.0,2,4,0.5,2,2,4,7,1,0,2,3,24,21.1,4,antetgi01
Jimmy Butler,2026-01-07,GSW,,MIL,"W, 120-113",*,32,6,15,0.4,1,5,0.2,8,9,0.889,2,3,5,3,1,0,2,3,21,14.7,-4,butleji01
Jimmy Butler,2026-01-05,GSW,@,LAC,"L, 102-103",*,33,7,16,0.438,1,4,0.25,9,11,0.818,5,1,6,2,4,1,2,0,24,22.7,3,butleji01
Jimmy Butler,2026-01-03,GSW,,UTA,"W, 123-114",*,34,4,9,0.444,1,2,0.5,6,8,0.75,1,2,3,7,3,0,2,0,15,16.7,9,butleji01
Jimmy Butler,2025-12-31,GSW,@,CHO,"W, 132-125",*,31,4,8,0.5,0,1,0.0,11,12,0.917,1,4,5,7,1,0,3,1,19,19.0,8,butleji01
Jimmy Butler,2025-12-29,GSW,@,BRK,"W, 120-107",*,31,5,9,0.556,0,0,0.0,11,12,0.917,3,2,5,4,1,0,1,1,21,21.4,7,butleji01
Stephen Curry,2026-01-07,GSW,,MIL,"W, 120-113",*,34,12,21,0.571,3,9,0.333,4,5,0.8,0,6,6,7,0,0,1,0,31,26.4,16,curryst01
